refcat,n_unidades,uso_dominante,es_mixta,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,cuota_ibi_eur,n_exentos,n_bonificados,habitantes_estimados,densidad_hab_por_unidad,via_referencia
2472602UK5327S,1,Industrial,0,1952.71,1678.24,274.47,8.20,0,0,3,3,CR CASTILLO BAYUELA 0002
4452419UK5345S,1,Industrial,0,20044.19,17506.94,2537.25,84.19,0,0,0,0,UR SERR PLAYA S 8R 0394
2472633UK5327S,1,Industrial,0,766.44,429.31,337.13,3.22,1,0,1,1,CL HINOJOSA 0020
3552310UK5335S,1,Industrial,0,29470.18,15515.27,13954.91,123.77,0,0,0,0,UR SERR PLAYA S 6R 0173
3313507UK5331S,1,Industrial,0,16433.52,14497.30,1936.22,69.02,0,0,0,0,UR SERR PLAYA S2 0003
2270403UK5327S,1,Industrial,0,4957.40,3305.75,1651.65,20.82,0,0,0.5,0.5,CL GRANADILLO 0015
2370103UK5327S,1,Industrial,0,5164.27,4655.94,508.33,21.69,0,0,0,0,CL GRANADILLO 0008
3317511UK5331N,1,Industrial,0,19802.50,14497.30,5305.20,83.17,0,0,0,0,UR SERR PLAYA S2 0170
2472634UK5327S,1,Industrial,0,5442.00,3048.15,2393.85,22.86,0,0,0.53,0.53,CL HINOJOSA 0022
2271806UK5327S,1,Industrial,0,6588.38,5620.18,968.20,27.67,0,0,0.08,0.08,CL VIRGEN DEL BUEN CAMINO 0006
2266312UK5326N,1,Industrial,0,7528.94,5581.16,1947.78,31.62,0,0,0.33,0.33,CR SERRANILLOS 0026
2274601UK5327S,1,Industrial,0,231266.27,175989.91,55276.36,971.32,0,0,0,0,CR TALAVERA-SM VALDEIGLESIAS 0041
4218814UK5341N,1,Industrial,0,747149.26,741467.63,5681.63,3138.03,0,0,0,0,UR SERR PLAYA SB 0025
4820925UK5342S,1,Industrial,0,5268.72,2950.58,2318.14,22.13,0,0,0,0,CL MAR CRISTAL 0023
2370419UK5327S,1,Industrial,0,8054.27,7587.26,467.01,33.83,0,0,0,0,CL CORREOS 0005
5421524UK5352S,1,Industrial,0,22681.89,17556.11,5125.78,95.26,0,0,1,1,UR SERR PLAYA SJ 0026
5123947UK5352S,1,Industrial,0,2323.49,224.78,2098.71,9.76,0,0,0,0,UR SERR PLAYA SJ 0060
2570202UK5327S,1,Industrial,0,1487.00,1131.03,355.97,6.25,0,0,0,0,CL ABAJO 0004
5218302UK5351N,1,Industrial,0,77505.25,74614.90,2890.35,325.52,0,0,0,0,UR SERR PLAYA SJ 0015
3857322UK5335N,1,Industrial,0,17523.94,13825.68,3698.26,73.60,0,0,0,0,UR SERR PLAYA S 7R 0258
2372613UK5327S,1,Industrial,0,7004.98,5581.16,1423.82,29.42,0,0,1.33,1.33,CL VIRGEN DEL BUEN CAMINO 0023
2472606UK5327S,1,Industrial,0,15137.18,3126.23,12010.95,63.58,0,0,0,0,CR CASTILLO BAYUELA 0012
3151311UK5335S,1,Industrial,0,18190.30,15806.83,2383.47,76.40,0,0,0,0,UR SERR PLAYA S 6R 0057
2670138UK5327S,1,Industrial,0,1288.00,786.81,501.19,5.41,1,0,0.27,0.27,CL ABAJO 0013
5421564UK5352S,1,Industrial,0,21289.96,15523.45,5766.51,89.42,0,0,0,0,UR SERR PLAYA SJ 0030
4624767UK5342S,1,Industrial,0,2185.49,983.51,1201.98,9.18,0,0,0,0,CL MAR ALBORAN 0008
4037705UK5343N,1,Industrial,0,23944.94,21382.07,2562.87,100.57,0,0,0,0,UR SERR PLAYA S5 0298
4331425UK5343S,1,Industrial,0,23849.22,13469.51,10379.71,100.17,0,0,2,2,UR SERR PLAYA S4 0062
2370102UK5327S,1,Industrial,0,5039.80,4958.63,81.17,21.17,0,0,0.03,0.03,CL GRANADILLO 0010
2473902UK5327S,1,Industrial,0,2915.84,2790.57,125.27,12.25,0,0,0,0,CR CASTILLO BAYUELA 0009
2271805UK5327S,1,Industrial,0,10328.79,9015.73,1313.06,43.38,0,0,0,0,CL VIRGEN DEL BUEN CAMINO 0004
3748827UK5334N,1,Industrial,0,11682.18,10144.47,1537.71,49.07,0,0,0,0,UR SERR PLAYA S 7R 0219
3727823UK5332N,1,Industrial,0,22864.66,15598.88,7265.78,96.03,0,0,0,0,UR SERR PLAYA S2 0286
2571101UK5327S,1,Industrial,0,68096.27,53218.71,14877.56,286.00,0,0,0,0,CL VIÑAS LAS 0004
4218815UK5341N,1,Industrial,0,5543.29,696.86,4846.43,23.28,0,0,0,0,UR SERR PLAYA SB 0025
4624701UK5342S,1,Industrial,0,5463.80,2458.82,3004.98,22.95,0,0,3.67,3.67,CL ISLA MALLORCA 0001
3313508UK5331S,1,Industrial,0,22997.81,13336.73,9661.08,96.59,0,0,0,0,UR SERR PLAYA S2 0004
2372606UK5327S,1,Industrial,0,4464.06,3735.08,728.98,18.75,0,0,0,0,CL HINOJOSA 0019
2269401UK5326N,1,Industrial,0,197923.84,48571.28,149352.56,831.28,1,1,0.03,0.03,CL ERAS 0010
3818417UK5331N,1,Industrial,0,2531.24,141.61,2389.63,10.63,0,0,0.82,0.82,UR SERR PLAYA S1 0013
2472612UK5327S,1,Industrial,0,27212.71,24578.65,2634.06,114.29,0,0,0,0,CL VIÑAS LAS 0005
2266311UK5326N,1,Industrial,0,61951.35,25700.74,36250.61,260.20,0,0,1.37,1.37,CR SERRANILLOS 0024
3937103UK5333N,1,Industrial,0,19676.41,17113.52,2562.89,82.64,0,0,0,0,UR SERR PLAYA S5 0293
4821324UK5342S,1,Industrial,0,986.25,213.54,772.71,4.14,1,0,0,0,UR SERR PLAYA SD 0023
2568537UK5326N,1,Industrial,0,13798.67,12626.15,1172.52,57.95,0,0,0,0,CL IGLESIA 0004
2471204UK5327S,1,Industrial,0,9292.72,7573.21,1719.51,39.03,0,0,0,0,CL HINOJOSA 0005
5123921UK5352S,1,Industrial,0,23832.81,18621.61,5211.20,100.10,0,0,0,0,UR SERR PLAYA SH 0019
2473304UK5327S,1,Industrial,0,29809.02,15713.15,14095.87,125.20,0,0,4.25,4.25,CR CASTILLO BAYUELA 0001
2370415UK5327S,1,Industrial,0,1116.58,515.17,601.41,4.69,1,0,0,0,CL CORREOS 0002
2670132UK5327S,1,Industrial,0,4098.32,2557.17,1541.15,17.21,0,0,0.27,0.27,CL ABAJO 0013
2472620UK5327S,1,Industrial,0,8731.72,1854.63,6877.09,36.67,0,0,0,0,CL VIRGEN DEL BUEN CAMINO 0063
